,,,
BN,"TUM, Geb. 0206, Mensa",Arcisstr. 17,80333 München
BS,"TUM, Geb. 0202",Gabelsbergerstr. 39,80333 München
BT,"TUM, Geb. 0201 StudiTUM",Gabelsbergerstr. 43,80333 München
BU,"TUM, Geb. 0204",Gabelsbergerstr. 49,80333 München
BV,"TUM, Geb. 0203",Gabelsbergerstr. 45,80333 München
BW,"TUM, Geb. 2920",Gabelsbergerstr. 47,80333 München
BX,"LMU, Lehrstuhl Philosophy of Mind, Rückgebäude, Kellergeschoss",Gabelsbergerstraße 62,80333 München
BZ,"TUM, Tentomax Stammgelände (Prüfungszelt)",Arcisstr. 21,80333 München
C,HSWT Triesdorf (CA-CZ),,Triesdorf
C0,"TUM, Geb. L, Bildungscampus Heilbronn",Am Bildungscampus 9,D-74076 Heilbronn
C1,"TUM, Geb. D, Bildungscampus Heilbronn",Am Bildungscampus 2,D-74076 Heilbronn
C2,"TUM, Geb. R, Bildungscampus Heilbronn, Bibliothek",Am Bildungscampus 15,D-74076 Heilbronn
CA,"HSWT, Triesdorf Geb. A (Altbau)",Steingruberstr. 2,91746 Weidenbach
CB,"HSWT, Triesdorf Geb. B (HTE)",Steingruberstr. 2,91746 Weidenbach
CC,"HSWT, Triesdorf Geb. C (Neubau)",Markgrafenstr. 18,91746 Weidenbach
CD,"HSWT, Triesdorf Geb. D (Steingruberhaus und Container)",Steingruberstr. 2,91746 Weidenbach
CE,"HSWT, Triesdorf Geb. E",Steingruberstraße 1a,91746 Weidenbach
CF,"HSWT, Triesdorf Geb. F",Markgrafenstraße 16,91746 Weidenbach
CG,"HSWT, Triesdorf Geb. G",Steingruberstraße 1,91746 Weidenbach
CH,"HSWT, Triesdorf, Gasthaus Adler",Markgrafenstraße 14,91746 Weidenbach
CQ,"HSWT, Triesdorf Geb. Q (Glaswerke Arnold, Hallenbereich)",Neuseser Str. 1,91732 Merkendorf
CR,"HSWT, Triesdorf Geb. R (Glaswerke Arnold Bürogebäude)",Neuseser Str. 1,91732 Merkendorf
D,Block Theresienstraße /Barer Straße /Gabelsbergerstraße /Türkenstraße,,
DA,"LMU, Block A",Theresienstr. 37,80333 München
DB,"LMU, Block B",Theresienstr. 39,80333 München
DC,"LMU, Block C",Theresienstr. 41,80333 München
DN,Neue Pinakothek,Barer Str. 29 (Theresienstraße),80799 München
DO,Alte Pinakothek,Barer Straße 27,80333 München
DP,Pinakothek der Moderne - Architekturmuseum,Barerstr. 40,80799 München
E,Oberwiesenfeld / ZHS,Zwischen Mittlerem und Frankfurter Ring,München
EC,"TUM, Geb. 2940, Campus C, Sport Ausweichquartier O2",Georg-Brauchle-Ring 50 und 66,80992 München
ED,"TUM, Geb. 2941, Campus D, Sport Ausweichquartier O2",Georg-Brauchle-Ring 60-62,80992 München
EF,"TUM, Geb. 2315, ZHS, BFTS (Bayerisches Forschungs- und Technologiezentrum für Sportwissenschaft)",Connollystr. 32,80809 München
EG,"TUM, Geb. 2303, ZHS Kleine Halle",Connollystr. 32,80809 München
EH,"TUM, Geb. 2301, ZHS Spielhalle",Connollystr. 32,80809 München
EK,"TUM, Geb. 2303, ZHS",Connollystr. 32,80809 München
EN,"TUM, Geb. 2305 - Zentralbau Nord",Connollystr. 32,80809 München
EO,Studentenviertel Olympisches Dorf,Helene-Mayer-Ring 9,80809 München
ET,"TUM, Geb. 2308, ZHS Tribüne",Connollystr. 32,80809 München
EZ,"TUM, Geb. 2330-2334, CiO Campus im Olympiapark (ZHS)",Connollystr. 32,80809 München
F,Königsplatz,,
FA,"TUM, Geb. 2906, Karlstraße 45",Karlstraße 45,80333 München
FB,"SNSB, Bau 5.2, Staatssammlung f. Anthropologie u. Paläoanatomie",Karolinenplatz 2a,80333 München
FC,LMU Kulturwissenschaften,Schleißheimer Str. 4,80333 München
FD,"TUM, Geb. 2910-2911, Brienner Forum",Richard-Wagner-Straße 1 und 3,80333 München
FE,"LMU, Haus der Kulturen, ZIKG",Katharina-von-Bora-Straße 10,80333 München
FF,"HFF, Hochschule für Fernsehen und Film (HFF) Neubau","Bernd-Eichinger-Platz 1, ehem. Gabelsbergerstr. 33",80333 München
FG,"LMU, Geologische und Geographische Institute",Luisenstr. 37,80333 München
FH,"TUM, Katholische Hochschulgemeinde an der TUM",Karlstr. 32,80333 München
FI,"BAdW, Bayerisches Forschungsinstitut für Digitale Transformation (bidt)",Gabelsbergerstr. 4,80333 München
FJ,,,
FK,"Test Gebert, Gabelsbergerstr. 29",Gabelsbergerstr. 29,80333 München
FL,"TUM, Geb. 0401, Verwaltung, Mathematik",Richard-Wagner-Straße 18,80333 München
FM,"HMTM, Musikhochschule, Luisenstr. 37a",Luisenstr. 37a,80333 München
FN,"Gästeappartement HMTM Musikhochschule, Appartement 11","Barer Str. 34, RGB",80333 München
FO,Wohnheim K.St.V. Ottonia,Gabelsbergerstr. 24,80333 München
FP,"LMU, Paläontologie",Richard-Wagner-Str. 10,80333 München
FR,"HMTM Musikhochschule, Geb. C  (ehem. Lotteriegebäude)",Karolinenplatz 4a,80333 München
FS,"HMTM, Musikhochschule, Hauptgebäude",Arcisstr. 12,80333 München
FT,"HMTM, Musikhochschule, Geb. D   (ehem. Lotteriegebäude)",Karolinenplatz 4,80333 München
FV,Institut für Volkskunde,Barer Str. 13,80333 München
FW,Wohnheim der Ingeborg-van-Calker-Stiftung,Richard-Wagner-Str. 16,80333 München
FX,Glyptothek,Königsplatz 3,80333 München
FY,Staatliches Museum für Ägyptische Kunst  (SMAEK),Gabelsbergerstraße 35,80333 München
FZ,"TUM, Geb. 0305, (Südost 5) Block D (ehem. LRZ)",Barer Str. 21,80333 München
G,"Westlich Ludwigstraße, südlich Akademiestraße, östlich Türkenstraße, nördlich Theresienstraße",,
G1,"LMU, Informatik (Digitalisierung, Künstliche Intelligenz)",Akademiestraße 7,80799 München
G2,"IBZ, Amalienstraße 38",Amalienstr. 38,80799 München
GA,"LMU, Geb. 0110, Akademiestr. 1",Akademiestr. 1,80799 München
GB,"LMU, Geb. 0030, Hauptgebäude inkl. Turmgebäude, Bibliothek",Geschwister-Scholl-Platz 1,80539 München
GC,"LMU, Fakultät für Geschichte (Historicum), Schellingstr. 12, Altbau in Amalienstr. 52",Schellingstr. 12,80799 München
GD,"LMU, Geb. 0010, Hauptgebäude an der Adalbertstraße (Adalberttrakt)",Geschwister-Scholl-Platz 1,80539 München
GE,"LMU, Geb. 0000E, Hauptgebäude an der Amalienstraße (Amalientrakt)",Geschwister-Scholl-Platz 1,80539 München
GF,"LMU, Geb. 0090, Amalienstr. 54",Amalienstr. 54,80799 München
GG,"LMU, Geb. 0252, Schellingstr. 7",Schellingstr. 7,80799 München
GH,"LMU, Fachbibliothek Philologicum",Ludwigstr. 25,80539 München
GI,"MPG, Digital Library, MPI für Sozialrecht und Sozialpolitik (MPISOC)",Amalienstr. 33,80799 München
GJ,"LMU, Schellingstr. 5",Schellingstr. 5,80799 München
GK,"LMU, Geb. 0020, Hauptgebäude/Kernbereich, Physik-Altbau, Salinenhof",Geschwister-Scholl-Platz 1,80539 München
GL,"LMU, Schellingstr. 9",Schellingstr. 9,80539 München
GM,"LMU, Geb. 0000M, Hauptgebäude/Mitteltrakt",Geschwister-Scholl-Platz 1,80539 München
GN,"LMU, Amalienstr. 83",Amalienstr. 83,80799 München
GO,"LMU, Geb. 0121, Vorder- und Rückgebäude, Philosophie",Ludwigstr. 31,80539 München
GP,"LMU, Geb. 0040, Philosophie",Ludwigstr. 27,80539 München
GQ,"LMU, Geb. 0122, Rechtsinformatik",Ludwigstr. 29,80539 München
GR,"LMU, Geb. 0200, Rückgebäude, Fak. für Kulturwissenschaften Bibliothek",Schellingstr. 3,80799 München
GS,"LMU, Geb. 0203, Vordergebäude",Schellingstr. 3,80333 München
GT,"LMU, Amalienstr. 73",Amalienstr. 73,80799 München
GU,"LMU, Geb. 1020",Amalienstr. 17,80333 München
GV,"LMU, Geb. 0120, Statistik, Ludwigstr. 33",Ludwigstr. 33,80539 München
GW,"LMU, Geb. 0000W, Hauptgebäude, Geschwister-Scholl-Platz 1, Nord",Geschwister-Scholl-Platz 1,80539 München
GX,"LMU, Geb. 0060, Schellingstr. 10",Schellingstr. 10,80799 München
GY,"LMU, Geb. 0050, Schellingstr. 4",Schellingstr. 4,80799 München
GZ,"LMU, Geb. 0000Z, Hauptgebäude, Telefonzentrale",Geschwister-Scholl-Platz 1,80539 München
H,Residenz und Umgebung,,
HA,"BAdW, Bau A (Turmbau), Akademiegebäude",Alfons-Goppel-Str. 11,80539 München
HC,"BAdW, Bau C, Akademiegebäude",Alfons-Goppel-Str. 11,80539 München
HK,"BAdW,  Kapellenhof, Akademiegebäude",Alfons-Goppel-Str. 11,80539 München
HM,"SMSB, Staatliche Münzsammlung München",Residenzstraße 1,80333 München
HP,"MPG, Hauptverwaltung",Hofgartenstr. 2,80539 München
HT,"LMU, Theaterwissenschaften, Bühne",Neuturmstraße 5,80331 München
HZ,"BAdW, Bau B, Akademiegebäude",Alfons-Goppel-Str. 11,80539 München
I,Campus Großhadern / Martinsried,,
I1,Helmholtz-Zentrum GrH,Feodor-Lynen-Str. 21,81377 München
I2,Helmholtz-Zentrum CPC,Max-Lebsche-Platz 31,81377 München
IA,"LMU, FCP-A, Genzentrum, Molekularbiologie und Biochemie",Feodor-Lynen-Str. 25,81375 München
IB,"LMU, FCP-B, Pharmazeutische Biologie und Technologie",Butenandtstr. 5-13,81377 München
IC,"LMU, Geb. 2957, FCP-C, Pharmakologische Chemie",Butenandtstr. 7,81377 München
ID,"LMU, FCP-D, Anorganische Chemie",Butenandtstr. 5-13,81377 München
IE,"LMU, Geb. 2961, FCP-E, Physikalische Chemie",Butenandtstr. 5-13,81377 München
IF,"LMU, FCP-F, Organische Chemie",Butenandtstr. 5-13,81377 München
IG,"LMU, Neubau Bauabschnitt 2, Biologie I, Martinsried",Großhaderner Str. 2-4,82152 Planegg-Martinsried
IH,"LMU, Jugendmedizin",Heiglhofstraße 63,81377 München
II,"LMU, Tiermedizin, Ausweichquartier in Planegg",Lena-Christ-Straße 48,82152 Planegg
IJ,Mensa Martinsried,Großhaderner Str. 6,82152 Planegg-Martinsried
IK,"LMU, Geb. 010-060, (Bettenhaus), Klinikum Großhadern, Rechenzentrum der Medizin",Marchioninistraße 15,81377 München
IL,"LMU, Neubau Bauabschnitt 1, Biologie II, Martinsried",Großhaderner Str. 2,82152 Planegg-Martinsried
IM,"MPG, Institut für Neurobiologie, Martinsried (Bauteil IK)",Am Klopferspitz 18,82152 Martinsried
