Unterbezirkskürzel,Link,Name,Strasse,Ort
BG,/apstat/filter/Unterbezirk/bg,"TUM, Geb. 0506 (Stammgelände-Theresianum)",Arcisstraße 21,80333 München
BH,/apstat/filter/Unterbezirk/bh,"TUM, Geb. 0507 (Stammgelände)",Arcisstraße 21,80333 München
BI,/apstat/filter/Unterbezirk/bi,"TUM, Geb. 0508 (Stammgelände), im Kern",Arcisstraße 21,80333 München
BJ,/apstat/filter/Unterbezirk/bj,Jakob-Balde-Haus,Theresienstr. 100,80333 München
BL,/apstat/filter/Unterbezirk/bl,"TUM, Geb. 0205",Arcisstr. 19,80333 München
BM,/apstat/filter/Unterbezirk/bm,"TUM, Geb. 0509 (Stammgelände)",Arcisstraße 21,80333 München
BN,/apstat/filter/Unterbezirk/bn,"TUM, Geb. 0206, Mensa",Arcisstr. 17,80333 München
BS,/apstat/filter/Unterbezirk/bs,"TUM, Geb. 0202",Gabelsbergerstr. 39,80333 München
BT,/apstat/filter/Unterbezirk/bt,"TUM, Geb. 0201 StudiTUM",Gabelsbergerstr. 43,80333 München
BU,/apstat/filter/Unterbezirk/bu,"TUM, Geb. 0204",Gabelsbergerstr. 49,80333 München
BV,/apstat/filter/Unterbezirk/bv,"TUM, Geb. 0203",Gabelsbergerstr. 45,80333 München
BW,/apstat/filter/Unterbezirk/bw,"TUM, Geb. 2920",Gabelsbergerstr. 47,80333 München
BX,/apstat/filter/Unterbezirk/bx,"LMU, Lehrstuhl Philosophy of Mind, Rückgebäude, Kellergeschoss",Gabelsbergerstraße 62,80333 München
BZ,/apstat/filter/Unterbezirk/bz,"TUM, Tentomax Stammgelände (Prüfungszelt)",Arcisstr. 21,80333 München
C,/apstat/filter/Unterbezirk/c,HSWT Triesdorf (CA-CZ),,Triesdorf
C0,/apstat/filter/Unterbezirk/c0,"TUM, Geb. L, Bildungscampus Heilbronn",Am Bildungscampus 9,D-74076 Heilbronn
C1,/apstat/filter/Unterbezirk/c1,"TUM, Geb. D, Bildungscampus Heilbronn",Am Bildungscampus 2,D-74076 Heilbronn
C2,/apstat/filter/Unterbezirk/c2,"TUM, Geb. R, Bildungscampus Heilbronn, Bibliothek",Am Bildungscampus 15,D-74076 Heilbronn
CA,/apstat/filter/Unterbezirk/ca,"HSWT, Triesdorf Geb. A (Altbau)",Steingruberstr. 2,91746 Weidenbach
CB,/apstat/filter/Unterbezirk/cb,"HSWT, Triesdorf Geb. B (HTE)",Steingruberstr. 2,91746 Weidenbach
CC,/apstat/filter/Unterbezirk/cc,"HSWT, Triesdorf Geb. C (Neubau)",Markgrafenstr. 18,91746 Weidenbach
CD,/apstat/filter/Unterbezirk/cd,"HSWT, Triesdorf Geb. D (Steingruberhaus und Container)",Steingruberstr. 2,91746 Weidenbach
CE,/apstat/filter/Unterbezirk/ce,"HSWT, Triesdorf Geb. E",Steingruberstraße 1a,91746 Weidenbach
CF,/apstat/filter/Unterbezirk/cf,"HSWT, Triesdorf Geb. F",Markgrafenstraße 16,91746 Weidenbach
CG,/apstat/filter/Unterbezirk/cg,"HSWT, Triesdorf Geb. G",Steingruberstraße 1,91746 Weidenbach
CH,/apstat/filter/Unterbezirk/ch,"HSWT, Triesdorf, Gasthaus Adler",Markgrafenstraße 14,91746 Weidenbach
CQ,/apstat/filter/Unterbezirk/cq,"HSWT, Triesdorf Geb. Q (Glaswerke Arnold, Hallenbereich)",Neuseser Str. 1,91732 Merkendorf
CR,/apstat/filter/Unterbezirk/cr,"HSWT, Triesdorf Geb. R (Glaswerke Arnold Bürogebäude)",Neuseser Str. 1,91732 Merkendorf
D,/apstat/filter/Unterbezirk/d,Block Theresienstraße /Barer Straße /Gabelsbergerstraße /Türkenstraße,,
DA,/apstat/filter/Unterbezirk/da,"LMU, Block A",Theresienstr. 37,80333 München
DB,/apstat/filter/Unterbezirk/db,"LMU, Block B",Theresienstr. 39,80333 München
DC,/apstat/filter/Unterbezirk/dc,"LMU, Block C",Theresienstr. 41,80333 München
DN,/apstat/filter/Unterbezirk/dn,Neue Pinakothek,Barer Str. 29 (Theresienstraße),80799 München
DO,/apstat/filter/Unterbezirk/do,Alte Pinakothek,Barer Straße 27,80333 München
DP,/apstat/filter/Unterbezirk/dp,Pinakothek der Moderne - Architekturmuseum,Barerstr. 40,80799 München
E,/apstat/filter/Unterbezirk/e,Oberwiesenfeld / ZHS,Zwischen Mittlerem und Frankfurter Ring,München
EC,/apstat/filter/Unterbezirk/ec,"TUM, Geb. 2940, Campus C, Sport Ausweichquartier O2",Georg-Brauchle-Ring 50 und 66,80992 München
ED,/apstat/filter/Unterbezirk/ed,"TUM, Geb. 2941, Campus D, Sport Ausweichquartier O2",Georg-Brauchle-Ring 60-62,80992 München
EF,/apstat/filter/Unterbezirk/ef,"TUM, Geb. 2315, ZHS, BFTS (Bayerisches Forschungs- und Technologiezentrum für Sportwissenschaft)",Connollystr. 32,80809 München
EG,/apstat/filter/Unterbezirk/eg,"TUM, Geb. 2303, ZHS Kleine Halle",Connollystr. 32,80809 München
EH,/apstat/filter/Unterbezirk/eh,"TUM, Geb. 2301, ZHS Spielhalle",Connollystr. 32,80809 München
EK,/apstat/filter/Unterbezirk/ek,"TUM, Geb. 2303, ZHS",Connollystr. 32,80809 München
EN,/apstat/filter/Unterbezirk/en,"TUM, Geb. 2305 - Zentralbau Nord",Connollystr. 32,80809 München
EO,/apstat/filter/Unterbezirk/eo,Studentenviertel Olympisches Dorf,Helene-Mayer-Ring 9,80809 München
ET,/apstat/filter/Unterbezirk/et,"TUM, Geb. 2308, ZHS Tribüne",Connollystr. 32,80809 München
EZ,/apstat/filter/Unterbezirk/ez,"TUM, Geb. 2330-2334, CiO Campus im Olympiapark (ZHS)",Connollystr. 32,80809 München
F,/apstat/filter/Unterbezirk/f,Königsplatz,,
FA,/apstat/filter/Unterbezirk/fa,"TUM, Geb. 2906, Karlstraße 45",Karlstraße 45,80333 München
FB,/apstat/filter/Unterbezirk/fb,"SNSB, Bau 5.2, Staatssammlung f. Anthropologie u. Paläoanatomie",Karolinenplatz 2a,80333 München
FC,/apstat/filter/Unterbezirk/fc,LMU Kulturwissenschaften,Schleißheimer Str. 4,80333 München
FD,/apstat/filter/Unterbezirk/fd,"TUM, Geb. 2910-2911, Brienner Forum",Richard-Wagner-Straße 1 und 3,80333 München
FE,/apstat/filter/Unterbezirk/fe,"LMU, Haus der Kulturen, ZIKG",Katharina-von-Bora-Straße 10,80333 München
FF,/apstat/filter/Unterbezirk/ff,"HFF, Hochschule für Fernsehen und Film (HFF) Neubau","Bernd-Eichinger-Platz 1, ehem. Gabelsbergerstr. 33",80333 München
FG,/apstat/filter/Unterbezirk/fg,"LMU, Geologische und Geographische Institute",Luisenstr. 37,80333 München
FH,/apstat/filter/Unterbezirk/fh,"TUM, Katholische Hochschulgemeinde an der TUM",Karlstr. 32,80333 München
FI,/apstat/filter/Unterbezirk/fi,"BAdW, Bayerisches Forschungsinstitut für Digitale Transformation (bidt)",Gabelsbergerstr. 4,80333 München
FJ,/apstat/filter/Unterbezirk/fj,,,
FK,/apstat/filter/Unterbezirk/fk,"Test Gebert, Gabelsbergerstr. 29",Gabelsbergerstr. 29,80333 München
FL,/apstat/filter/Unterbezirk/fl,"TUM, Geb. 0401, Verwaltung, Mathematik",Richard-Wagner-Straße 18,80333 München
FM,/apstat/filter/Unterbezirk/fm,"HMTM, Musikhochschule, Luisenstr. 37a",Luisenstr. 37a,80333 München
FN,/apstat/filter/Unterbezirk/fn,"Gästeappartement HMTM Musikhochschule, Appartement 11","Barer Str. 34, RGB",80333 München
FO,/apstat/filter/Unterbezirk/fo,Wohnheim K.St.V. Ottonia,Gabelsbergerstr. 24,80333 München
FP,/apstat/filter/Unterbezirk/fp,"LMU, Paläontologie",Richard-Wagner-Str. 10,80333 München
FR,/apstat/filter/Unterbezirk/fr,"HMTM Musikhochschule, Geb. C  (ehem. Lotteriegebäude)",Karolinenplatz 4a,80333 München
FS,/apstat/filter/Unterbezirk/fs,"HMTM, Musikhochschule, Hauptgebäude",Arcisstr. 12,80333 München
FT,/apstat/filter/Unterbezirk/ft,"HMTM, Musikhochschule, Geb. D   (ehem. Lotteriegebäude)",Karolinenplatz 4,80333 München
FV,/apstat/filter/Unterbezirk/fv,Institut für Volkskunde,Barer Str. 13,80333 München
FW,/apstat/filter/Unterbezirk/fw,Wohnheim der Ingeborg-van-Calker-Stiftung,Richard-Wagner-Str. 16,80333 München
FX,/apstat/filter/Unterbezirk/fx,Glyptothek,Königsplatz 3,80333 München
FY,/apstat/filter/Unterbezirk/fy,Staatliches Museum für Ägyptische Kunst  (SMAEK),Gabelsbergerstraße 35,80333 München
FZ,/apstat/filter/Unterbezirk/fz,"TUM, Geb. 0305, (Südost 5) Block D (ehem. LRZ)",Barer Str. 21,80333 München
G,/apstat/filter/Unterbezirk/g,"Westlich Ludwigstraße, südlich Akademiestraße, östlich Türkenstraße, nördlich Theresienstraße",,
G1,/apstat/filter/Unterbezirk/g1,"LMU, Informatik (Digitalisierung, Künstliche Intelligenz)",Akademiestraße 7,80799 München
G2,/apstat/filter/Unterbezirk/g2,"IBZ, Amalienstraße 38",Amalienstr. 38,80799 München
GA,/apstat/filter/Unterbezirk/ga,"LMU, Geb. 0110, Akademiestr. 1",Akademiestr. 1,80799 München
GB,/apstat/filter/Unterbezirk/gb,"LMU, Geb. 0030, Hauptgebäude inkl. Turmgebäude, Bibliothek",Geschwister-Scholl-Platz 1,80539 München
GC,/apstat/filter/Unterbezirk/gc,"LMU, Fakultät für Geschichte (Historicum), Schellingstr. 12, Altbau in Amalienstr. 52",Schellingstr. 12,80799 München
GD,/apstat/filter/Unterbezirk/gd,"LMU, Geb. 0010, Hauptgebäude an der Adalbertstraße (Adalberttrakt)",Geschwister-Scholl-Platz 1,80539 München
GE,/apstat/filter/Unterbezirk/ge,"LMU, Geb. 0000E, Hauptgebäude an der Amalienstraße (Amalientrakt)",Geschwister-Scholl-Platz 1,80539 München
GF,/apstat/filter/Unterbezirk/gf,"LMU, Geb. 0090, Amalienstr. 54",Amalienstr. 54,80799 München
GG,/apstat/filter/Unterbezirk/gg,"LMU, Geb. 0252, Schellingstr. 7",Schellingstr. 7,80799 München
GH,/apstat/filter/Unterbezirk/gh,"LMU, Fachbibliothek Philologicum",Ludwigstr. 25,80539 München
GI,/apstat/filter/Unterbezirk/gi,"MPG, Digital Library, MPI für Sozialrecht und Sozialpolitik (MPISOC)",Amalienstr. 33,80799 München
GJ,/apstat/filter/Unterbezirk/gj,"LMU, Schellingstr. 5",Schellingstr. 5,80799 München
GK,/apstat/filter/Unterbezirk/gk,"LMU, Geb. 0020, Hauptgebäude/Kernbereich, Physik-Altbau, Salinenhof",Geschwister-Scholl-Platz 1,80539 München
GL,/apstat/filter/Unterbezirk/gl,"LMU, Schellingstr. 9",Schellingstr. 9,80539 München
GM,/apstat/filter/Unterbezirk/gm,"LMU, Geb. 0000M, Hauptgebäude/Mitteltrakt",Geschwister-Scholl-Platz 1,80539 München
GN,/apstat/filter/Unterbezirk/gn,"LMU, Amalienstr. 83",Amalienstr. 83,80799 München
GO,/apstat/filter/Unterbezirk/go,"LMU, Geb. 0121, Vorder- und Rückgebäude, Philosophie",Ludwigstr. 31,80539 München
GP,/apstat/filter/Unterbezirk/gp,"LMU, Geb. 0040, Philosophie",Ludwigstr. 27,80539 München
GQ,/apstat/filter/Unterbezirk/gq,"LMU, Geb. 0122, Rechtsinformatik",Ludwigstr. 29,80539 München
GR,/apstat/filter/Unterbezirk/gr,"LMU, Geb. 0200, Rückgebäude, Fak. für Kulturwissenschaften Bibliothek",Schellingstr. 3,80799 München
GS,/apstat/filter/Unterbezirk/gs,"LMU, Geb. 0203, Vordergebäude",Schellingstr. 3,80333 München
GT,/apstat/filter/Unterbezirk/gt,"LMU, Amalienstr. 73",Amalienstr. 73,80799 München
GU,/apstat/filter/Unterbezirk/gu,"LMU, Geb. 1020",Amalienstr. 17,80333 München
GV,/apstat/filter/Unterbezirk/gv,"LMU, Geb. 0120, Statistik, Ludwigstr. 33",Ludwigstr. 33,80539 München
GW,/apstat/filter/Unterbezirk/gw,"LMU, Geb. 0000W, Hauptgebäude, Geschwister-Scholl-Platz 1, Nord",Geschwister-Scholl-Platz 1,80539 München
GX,/apstat/filter/Unterbezirk/gx,"LMU, Geb. 0060, Schellingstr. 10",Schellingstr. 10,80799 München
GY,/apstat/filter/Unterbezirk/gy,"LMU, Geb. 0050, Schellingstr. 4",Schellingstr. 4,80799 München
GZ,/apstat/filter/Unterbezirk/gz,"LMU, Geb. 0000Z, Hauptgebäude, Telefonzentrale",Geschwister-Scholl-Platz 1,80539 München
H,/apstat/filter/Unterbezirk/h,Residenz und Umgebung,,
HA,/apstat/filter/Unterbezirk/ha,"BAdW, Bau A (Turmbau), Akademiegebäude",Alfons-Goppel-Str. 11,80539 München
HC,/apstat/filter/Unterbezirk/hc,"BAdW, Bau C, Akademiegebäude",Alfons-Goppel-Str. 11,80539 München
HK,/apstat/filter/Unterbezirk/hk,"BAdW,  Kapellenhof, Akademiegebäude",Alfons-Goppel-Str. 11,80539 München
HM,/apstat/filter/Unterbezirk/hm,"SMSB, Staatliche Münzsammlung München",Residenzstraße 1,80333 München
HP,/apstat/filter/Unterbezirk/hp,"MPG, Hauptverwaltung",Hofgartenstr. 2,80539 München
HT,/apstat/filter/Unterbezirk/ht,"LMU, Theaterwissenschaften, Bühne",Neuturmstraße 5,80331 München
HZ,/apstat/filter/Unterbezirk/hz,"BAdW, Bau B, Akademiegebäude",Alfons-Goppel-Str. 11,80539 München
I,/apstat/filter/Unterbezirk/i,Campus Großhadern / Martinsried,,
I1,/apstat/filter/Unterbezirk/i1,Helmholtz-Zentrum GrH,Feodor-Lynen-Str. 21,81377 München
I2,/apstat/filter/Unterbezirk/i2,Helmholtz-Zentrum CPC,Max-Lebsche-Platz 31,81377 München
IA,/apstat/filter/Unterbezirk/ia,"LMU, FCP-A, Genzentrum, Molekularbiologie und Biochemie",Feodor-Lynen-Str. 25,81375 München
IB,/apstat/filter/Unterbezirk/ib,"LMU, FCP-B, Pharmazeutische Biologie und Technologie",Butenandtstr. 5-13,81377 München
IC,/apstat/filter/Unterbezirk/ic,"LMU, Geb. 2957, FCP-C, Pharmakologische Chemie",Butenandtstr. 7,81377 München
ID,/apstat/filter/Unterbezirk/id,"LMU, FCP-D, Anorganische Chemie",Butenandtstr. 5-13,81377 München
IE,/apstat/filter/Unterbezirk/ie,"LMU, Geb. 2961, FCP-E, Physikalische Chemie",Butenandtstr. 5-13,81377 München
IF,/apstat/filter/Unterbezirk/if,"LMU, FCP-F, Organische Chemie",Butenandtstr. 5-13,81377 München
IG,/apstat/filter/Unterbezirk/ig,"LMU, Neubau Bauabschnitt 2, Biologie I, Martinsried",Großhaderner Str. 2-4,82152 Planegg-Martinsried
IH,/apstat/filter/Unterbezirk/ih,"LMU, Jugendmedizin",Heiglhofstraße 63,81377 München
II,/apstat/filter/Unterbezirk/ii,"LMU, Tiermedizin, Ausweichquartier in Planegg",Lena-Christ-Straße 48,82152 Planegg
IJ,/apstat/filter/Unterbezirk/ij,Mensa Martinsried,Großhaderner Str. 6,82152 Planegg-Martinsried
IK,/apstat/filter/Unterbezirk/ik,"LMU, Geb. 010-060, (Bettenhaus), Klinikum Großhadern, Rechenzentrum der Medizin",Marchioninistraße 15,81377 München
IL,/apstat/filter/Unterbezirk/il,"LMU, Neubau Bauabschnitt 1, Biologie II, Martinsried",Großhaderner Str. 2,82152 Planegg-Martinsried
IM,/apstat/filter/Unterbezirk/im,"MPG, Institut für Neurobiologie, Martinsried (Bauteil IK)",Am Klopferspitz 18,82152 Martinsried
IN,/apstat/filter/Unterbezirk/in,"MPG, Institut für Biochemie, Martinsried, Bauteil IK",Am Klopferspitz 18,82152 Martinsried
IO,/apstat/filter/Unterbezirk/io,"LMU, Neubau  BioSysM, Haus K (Erweiterung Genzentrum)",Butenandtstr. 1,81377 München
IP,/apstat/filter/Unterbezirk/ip,Zentrum für Prionforschung,Feodor-Lynen-Str. 27,81375 München
IQ,/apstat/filter/Unterbezirk/iq,"IZB, Gründerzentrum Biotechnologie, Martinsried",Am Klopferspitz 19,82152 Planegg-Martinsried
IR,/apstat/filter/Unterbezirk/ir,"LMU, Haus L,  Institut für Chemische Epigenetik München (ICEM)",Würmtalstraße 201,81375 München
IS,/apstat/filter/Unterbezirk/is,Wohnheim Sauerbruchstraße,"Sauerbruchstraße 59, 61 und Heiglhofstraße 44, 46",81377 München
IT,/apstat/filter/Unterbezirk/it,Wohnheim Heiglhofstraße,"Heiglhofstraße 64, 66",81377 München
IU,/apstat/filter/Unterbezirk/iu,"LMU, Bauamt",Marchioninistr. 15a,81377 München
IV,/apstat/filter/Unterbezirk/iv,Studentenbistro Martinsried,Großhaderner Straße 9a,82152 Planegg-Martinsried
IW,/apstat/filter/Unterbezirk/iw,"TUM, Geb. 2801, Wassergüte",Marchioninistr. 17,81377 München
IZ,/apstat/filter/Unterbezirk/iz,"LMU, Biomedizinisches Centrum (BMC)",Großhaderner Straße 9,82152 Planegg-Martinsried
J,/apstat/filter/Unterbezirk/j,Weihenstephan (inkl. Außenbezirke),,
J0,/apstat/filter/Unterbezirk/j0,"TUM, Geb. 4321, TUM-Verwaltung (TBA)",Lange Point 24,85354 Freising
J1,/apstat/filter/Unterbezirk/j1,"TUM, Geb. 4320, Heizhaus",Lange Point 24,85354 Freising
J2,/apstat/filter/Unterbezirk/j2,"HSWT, Geb. H1 / 4391, Zentrum für Angewandte Brau- und Getränketechnologie (ZABG)",Am Staudengarten 13,85354 Freising
J3,/apstat/filter/Unterbezirk/j3,"TUM, Geb. 4503, Versuchsgut Dürnast, Verwaltungsgebäude",Dürnast 1,85354 Freising
J4,/apstat/filter/Unterbezirk/j4,"TUM, Geb. 4501, Versuchsgut Dürnast, Gutshof",Dürnast 1,85354 Freising
J5,/apstat/filter/Unterbezirk/j5,"TUM, Geb. 4231, Versuchsgut Dürnast, LS Pflanzenernährung",Dürnast 1,85354 Freising
J6,/apstat/filter/Unterbezirk/j6,"TUM, Geb. 4232, Versuchsgut Dürnast, GHL 3",Dürnast 1,85354 Freising
J7,/apstat/filter/Unterbezirk/j7,"TUM, Geb. 4234,  Versuchsgut Dürnast, GHL 1",Dürnast 1,85354 Freising
J8,/apstat/filter/Unterbezirk/j8,"TUM, Geb. 4235,  Versuchsgut Dürnast, GHL 2",Dürnast 1,85354 Freising
JA,/apstat/filter/Unterbezirk/ja,"HSWT, Geb. 4199, Bioinformatik (C5)",Vöttinger Str. 27,85354 Freising
JB,/apstat/filter/Unterbezirk/jb,"TUM, Geb. 4111, Versuchs- und Lehrbrauerei",Weihenstephaner Steig 18,85350 Freising
JC,/apstat/filter/Unterbezirk/jc,"TUM, Geb. 4224, Biowissenschaft/Gentechnik",Gregor-Mendel-Str. 2,85350 Freising
JD,/apstat/filter/Unterbezirk/jd,"TUM, Geb. 4225, Lebensmittelchemie u. Molekulare Sensorik",Lise-Meitner-Str. 34,85354 Freising
JE,/apstat/filter/Unterbezirk/je,Kinderkrippe Krabbelstube,Emil-Erlenmeyer-Forum 4,Freising
JF,/apstat/filter/Unterbezirk/jf,"TUM, Geb. 4129/4132, Aquatische Systembiologie 'Mühle'",Mühlenweg 22,85354 Freising
JG,/apstat/filter/Unterbezirk/jg,"HSWT, Versuchsgut Grünschwaige",Grünschwaige,85462 Eitting
JH,/apstat/filter/Unterbezirk/jh,"TUM, Geb. 4275, Stallgebäude",An der Mühle 20,85354 Freising
JI,/apstat/filter/Unterbezirk/ji,"IZB, Weihenstephan",Lise-Meitner-Straße 30,85354 Freising
JJ,/apstat/filter/Unterbezirk/jj,"TUM, Geb. 4280, Servergebäude",,85354 Freising
JK,/apstat/filter/Unterbezirk/jk,"TUM, Geb. 4384, Aufbereitungshalle für Gemüse",Am Staudengarten,85354 Freising
JL,/apstat/filter/Unterbezirk/jl,"TUM, Geb. 4209, Landtechnik",Am Staudengarten 2,85354 Freising
JM,/apstat/filter/Unterbezirk/jm,"TUM, Geb. 4211, Landtechnik",Vöttinger Str. 36,85354 Freising
JN,/apstat/filter/Unterbezirk/jn,"TUM, Geb. 4521-4524,Versuchsstation Viehhausen",Viehhausen 4,85402 Kranzberg
JO,/apstat/filter/Unterbezirk/jo,"TUM, Geb. 4318, Hans Eisenmann-Zentrum (Zentralinstitut für Agrarwissenschaften)",Liesel-Beckmann-Straße 2,85354 Freising
JP,/apstat/filter/Unterbezirk/jp,"TUM, Geb. 4264, Protein Modelling",Emil-Erlenmeyer-Forum 8,85354 Freising
JQ,/apstat/filter/Unterbezirk/jq,"TUM, Geb. 4103, Sammlungsbau",Alte Akademie 6,85354 Freising
JR,/apstat/filter/Unterbezirk/jr,"TUM Geb. 4222, Servicegebäude Freising",Vöttinger Str. 40,85354 Freising
JS,/apstat/filter/Unterbezirk/js,"TUM, Versuchsstation Kranzberger Forst",,"11°39’42”E, 48°25’12”N"
JT,/apstat/filter/Unterbezirk/jt,"TUM, Geb. 4601-4620, Thalhausen",Ampertshausen 15,85402 Kranzberg
JU,/apstat/filter/Unterbezirk/ju,"TUM, Geb. 4800, AMC Versuchshalle Achering (Mühlich)",Acheringer Hauptsraße 32a,85354 Achering-Freising
JV,/apstat/filter/Unterbezirk/jv,"TUM, Geb. 4180-4192 ,Veitshof",Veitsmüllerweg 4-6,85354 Freising
JW,/apstat/filter/Unterbezirk/jw,"TUM, Geb. 4205, Franzosenstadl",Vöttinger Str. 40,85354 Freising
JZ,/apstat/filter/Unterbezirk/jz,"TUM, Tentomax Weihenstephan (Prüfungszelt)",Gregor-Mendel-Str.,Freising
K,/apstat/filter/Unterbezirk/k,Klinikum Rechts der Isar,,
K1,/apstat/filter/Unterbezirk/k1,"TUM, Geb. 561 | Chirurgische Klinik",Ismaninger Str. 22,81675 München
K2,/apstat/filter/Unterbezirk/k2,"TUM, Geb. 546",Ismaninger Str. 13,81675 München
K3,/apstat/filter/Unterbezirk/k3,"TUM, Geb. zwischen 523 und 507",Trogerstraße 5,81675 München
K4,/apstat/filter/Unterbezirk/k4,"TUM, 2 kleine Geb. zwischen 507 und 528",Trogerstraße 3,81675 München
K5,/apstat/filter/Unterbezirk/k5,"TUM, Geb. 1514, Interdisziplinäres Forschungsgebäude",Trogerstraße 9,81675 München
K6,/apstat/filter/Unterbezirk/k6,"TUM, Geb. 528, Ecke Troger- / Einsteinstraße",Trogerstraße 1,81675 München
K7,/apstat/filter/Unterbezirk/k7,"TUM, Geb. neben Geb. 523",Trogerstraße 7,81675 München
K8,/apstat/filter/Unterbezirk/k8,"TUM, Geb. 541",Trogerstraße 5b,81675 München
K9,/apstat/filter/Unterbezirk/k9,"TUM, Geb. 713, Lehr und Trainingszentrum (LUTZ)",Nigerstraße 3,81675 München
KA,/apstat/filter/Unterbezirk/ka,"TUM, Geb. 501, Hauptgebäude",Einsteinstraße 3,81675 München
KB,/apstat/filter/Unterbezirk/kb,"TUM, Geb. 502",Ismaninger Str. 22,81675 München
KC,/apstat/filter/Unterbezirk/kc,"TUM, Geb. 503",Ismaninger Str. 22,81675 München
KD,/apstat/filter/Unterbezirk/kd,"TUM, Geb. 504",Ismaninger Str. 22,81675 München
KE,/apstat/filter/Unterbezirk/ke,"TUM, Geb. 507",Trogerstraße 1b,81675 München
KF,/apstat/filter/Unterbezirk/kf,"TUM, Geb. 518, Psychosomatische Ambulanz",Langerstraße 3,81675 München
KG,/apstat/filter/Unterbezirk/kg,"TUM, Geb. 1523, IMSE Rechenzentrum (RZ)",Einsteinstraße 5,81675 München
KH,/apstat/filter/Unterbezirk/kh,"TUM, Geb. 508",Ismaninger Str. 22,81675 München
KI,/apstat/filter/Unterbezirk/ki,"TUM, Geb. 509",Trogerstraße 5b,81675 München
KJ,/apstat/filter/Unterbezirk/kj,"TUM, Geb. 510",Ismaninger Str. 22,81675 München
KK,/apstat/filter/Unterbezirk/kk,"TUM, Geb. 511",Ismaninger Str. 8,81675 München
KL,/apstat/filter/Unterbezirk/kl,"TUM, Geb. 562",Ismaninger Str. 22,81675 München
KM,/apstat/filter/Unterbezirk/km,"TUM, Geb. 1536, Geschichte und Ethik der Medizin",Trogerstr. 14,81675 München
KN,/apstat/filter/Unterbezirk/kn,"TUM, Geb. 514",Trogerstraße 7,81675 München
KO,/apstat/filter/Unterbezirk/ko,"TUM, Geb. 1740, ForTe",Neherstraße 1,81675 München
KP,/apstat/filter/Unterbezirk/kp,"TUM, Geb. 516",Ismaninger Str. 22,81675 München
KQ,/apstat/filter/Unterbezirk/kq,"TUM, Geb. 560",Ismaninger Str. 22,81675 München
KR,/apstat/filter/Unterbezirk/kr,"TUM, Geb. 512",Trogerstraße 7,81675 München
KS,/apstat/filter/Unterbezirk/ks,"TUM, Trogerstraße 5",Trogerstraße 5,81675 München
KT,/apstat/filter/Unterbezirk/kt,"TUM, Geb. 2522, TranslaTUM",Einsteinstraße 25,81675 München
KU,/apstat/filter/Unterbezirk/ku,"TUM, Geb. 506",Ismaninger Str. 22,81675 München
KV,/apstat/filter/Unterbezirk/kv,"TUM, Geb. 520",Ismaninger Str. 22,81675 München
KW,/apstat/filter/Unterbezirk/kw,"TUM, Geb. 551, Hörsaalgebäude",Einsteinstraße 3,81675 München
KX,/apstat/filter/Unterbezirk/kx,"TUM, Geb. 552",Einsteinstraße 5,81675 München
KY,/apstat/filter/Unterbezirk/ky,"TUM, Geb. 557",Trogerstraße 5,81675 München
KZ,/apstat/filter/Unterbezirk/kz,"TUM; Geb. 522, TranslaTUM",Einsteinstraße 25,81675 München
L,/apstat/filter/Unterbezirk/l,Leopoldstraße vom Siegestor bis Münchner Freiheit mit Seitenstraßen,,
L1,/apstat/filter/Unterbezirk/l1,"KHG, Studentencafe der Katholischen Hochschulgemeinde",Leopoldstraße 11,80802 München
L3,/apstat/filter/Unterbezirk/l3,"LMU, Geb. 0601",Leopoldstr. 13,80802 München
LA,/apstat/filter/Unterbezirk/la,"LMU, Geb. 0602",Leopoldstr. 13,80802 München
LB,/apstat/filter/Unterbezirk/lb,"LMU, Geb. 0603",Leopoldstr. 13,80802 München
LC,/apstat/filter/Unterbezirk/lc,"LMU, Leopoldstraße 11, 11a, 11b","Leopoldstraße 11, 11a, 11b",80802 München
LD,/apstat/filter/Unterbezirk/ld,"LMU, Center of Advanced Studies CAS",Franz-Joseph-Str. 15,80801 München
LE,/apstat/filter/Unterbezirk/le,"LMU, Georgenstr. 11",Georgenstr. 11,80799 München
LF,/apstat/filter/Unterbezirk/lf,Studentinnenheim Sophie-Barat-Haus,Franz-Joseph-Str. 4,80801 München
LG,/apstat/filter/Unterbezirk/lg,"LMU, Georgenstr. 5",Georgenstr. 5,80799 München
LH,/apstat/filter/Unterbezirk/lh,"LMU, Seniorenstudium",Hohenstaufenstraße 1,80801 München
LI,/apstat/filter/Unterbezirk/li,frei,,
LJ,/apstat/filter/Unterbezirk/lj,"ABZ, Ausbildungszentrum für Pastoralreferenten",Franz-Joseph-Str. 6,80801 München
LK,/apstat/filter/Unterbezirk/lk,"LMU, Georgenstr. 7",Georgenstr. 7,80799 München
LL,/apstat/filter/Unterbezirk/ll,"LMU, Soziologie",Konradstr. 6,80801 München
LM,/apstat/filter/Unterbezirk/lm,"Mensa, Leopoldstr.",Leopoldstr. 13a,80802 München
LN,/apstat/filter/Unterbezirk/ln,"LMU, Leopoldstraße 44",Leopoldstraße 44,80802 München
LO,/apstat/filter/Unterbezirk/lo,LMU Leopoldstr. 30,Leopoldstr. 30,80802 München
LP,/apstat/filter/Unterbezirk/lp,Priesterseminar St. Johannes der Täufer,Georgenstr. 14,80799 München
