apa03-zbm,-9223372036854775808,-9223372036854775808
apa09-kbh,-9223372036854775808,-9223372036854775808
apa08-0bh,11,3
apa15-1mt,-9223372036854775808,-9223372036854775808
apa01-2qu,22,3
apa02-2bb,-9223372036854775808,-9223372036854775808
apa01-2me,-9223372036854775808,-9223372036854775808
apa02-2mf,-9223372036854775808,-9223372036854775808
apa09-2u4,13,3
apa10-1wo,12,3
apa04-1b8,-9223372036854775808,-9223372036854775808
apa20-3at,-9223372036854775808,-9223372036854775808
apa08-1w6,-9223372036854775808,-9223372036854775808
apa07-0aj,-9223372036854775808,-9223372036854775808
apa01-2ah,-9223372036854775808,-9223372036854775808
apa14-2bd,-9223372036854775808,-9223372036854775808
apa04-2qu,-9223372036854775808,-9223372036854775808
apa18-3at,-9223372036854775808,-9223372036854775808
apa01-1fl,-9223372036854775808,-9223372036854775808
apa05-3m1,14,4
apa02-2w6,-9223372036854775808,-9223372036854775808
apa02-0a4,-9223372036854775808,-9223372036854775808
apa05-4mf,-9223372036854775808,-9223372036854775808
apa03-kb3,-9223372036854775808,-9223372036854775808
apa14-0qw,-9223372036854775808,-9223372036854775808
apa03-1mm,14,4
apa13-1mq,10,3
apa12-kbm,-9223372036854775808,-9223372036854775808
apa17-2mt,-9223372036854775808,-9223372036854775808
apa01-6b3,-9223372036854775808,-9223372036854775808
apa05-3ug,9,3
apa01-0ak,-9223372036854775808,-9223372036854775808
apa04-2m1,-9223372036854775808,-9223372036854775808
apa02-0a8,-9223372036854775808,-9223372036854775808
apa02-2me,-9223372036854775808,-9223372036854775808
apa17-2bd,10,3
apa01-km7,-9223372036854775808,-9223372036854775808
apa17-kbb,-9223372036854775808,-9223372036854775808
apa05-2u4,14,3
apa01-5xa,-9223372036854775808,-9223372036854775808
apa05-0bg,-9223372036854775808,-9223372036854775808
apa07-1qw,-9223372036854775808,-9223372036854775808
apa18-0w0,206,3
apa04-2xa,-9223372036854775808,-9223372036854775808
apa07-2w5,-9223372036854775808,-9223372036854775808
apa04-2w0,-9223372036854775808,-9223372036854775808
apa04-1wo,9,3
apa09-3bf,-9223372036854775808,-9223372036854775808
apa09-1b1,-9223372036854775808,-9223372036854775808
apa02-0b3,-9223372036854775808,-9223372036854775808
apa02-2ez,63,3
apa04-2w4,-9223372036854775808,-9223372036854775808
apa20-0w0,193,3
apa01-1jb,-9223372036854775808,-9223372036854775808
apa11-2at,-9223372036854775808,-9223372036854775808
apa18-0m1,7,3
apa04-0x6,-9223372036854775808,-9223372036854775808
apa02-0ql,-9223372036854775808,-9223372036854775808
apa06-zbm,-9223372036854775808,-9223372036854775808
apa04-kbd,-9223372036854775808,-9223372036854775808
apa05-1b1,-9223372036854775808,-9223372036854775808
apa01-0ju,-9223372036854775808,-9223372036854775808
apa01-1b6,-9223372036854775808,-9223372036854775808
apa19-3m1,42,4
apa15-3mf,-9223372036854775808,-9223372036854775808
apa24-2bb,-9223372036854775808,-9223372036854775808
apa04-4mf,-9223372036854775808,-9223372036854775808
apa03-1uh,-9223372036854775808,-9223372036854775808
apa08-2ah,-9223372036854775808,-9223372036854775808
apa16-0w0,-9223372036854775808,-9223372036854775808
apa15-2bd,-9223372036854775808,-9223372036854775808
apa16-3mq,12,3
apa06-4ag,16,3
apa02-kw1,-9223372036854775808,-9223372036854775808
apa13-0w6,7,3
apa04-0m1,-9223372036854775808,-9223372036854775808
apa11-0qi,-9223372036854775808,-9223372036854775808
apa01-1qh,-9223372036854775808,-9223372036854775808
apa02-2ug,11,3
apa08-0q2,-9223372036854775808,-9223372036854775808
apa05-1qw,-9223372036854775808,-9223372036854775808
apa01-0mq,-9223372036854775808,-9223372036854775808
apa04-2ad,-9223372036854775808,-9223372036854775808
apa03-1ua,-9223372036854775808,-9223372036854775808
apa01-2w4,-9223372036854775808,-9223372036854775808
apa06-0w2,-9223372036854775808,-9223372036854775808
apa01-1bd,-9223372036854775808,-9223372036854775808
apa09-1w6,-9223372036854775808,-9223372036854775808
apa01-1fa,-9223372036854775808,-9223372036854775808
apa07-3bb,-9223372036854775808,-9223372036854775808
apa01-0mz,-9223372036854775808,-9223372036854775808
apa01-kbu,5,3
apa01-1p2,12,3
apa05-0mq,6,3
apa01-0ao,-9223372036854775808,-9223372036854775808
apa05-2bb,-9223372036854775808,-9223372036854775808
apa03-0be,-9223372036854775808,-9223372036854775808
apa01-3bg,-9223372036854775808,-9223372036854775808
apa06-0mo,-9223372036854775808,-9223372036854775808
apa03-kb5,-9223372036854775808,-9223372036854775808
apa04-0qt,65,3
apa03-2ua,-9223372036854775808,-9223372036854775808
apa10-1w2,13,3
apa05-0a8,6,3
apa01-4ac,-9223372036854775808,-9223372036854775808
apa21-1at,-9223372036854775808,-9223372036854775808
apa05-0a4,7,3
apa01-0a8,-9223372036854775808,-9223372036854775808
apa04-0qu,5,3
apa06-kbh,-9223372036854775808,-9223372036854775808
apa08-2bf,-9223372036854775808,-9223372036854775808
apa01-1aq,-9223372036854775808,-9223372036854775808
apa01-3ug,6,3
apa04-0uf,-9223372036854775808,-9223372036854775808
apa06-2ah,-9223372036854775808,-9223372036854775808
apa01-0p2,-9223372036854775808,-9223372036854775808
apa03-6fa,-9223372036854775808,-9223372036854775808
apa07-2ad,12,3
apa02-0qo,-9223372036854775808,-9223372036854775808
apa02-0zb,-9223372036854775808,-9223372036854775808
apa07-0qu,6,3
apa03-1ue,-9223372036854775808,-9223372036854775808
apa02-kql,-9223372036854775808,-9223372036854775808
apa06-0w3,-9223372036854775808,-9223372036854775808
apa04-3ac,10,3
apa21-0m1,8,3
apa03-2mb,-9223372036854775808,-9223372036854775808
apa01-ku4,11,3
apa01-0b5,-9223372036854775808,-9223372036854775808
apa07-3w1,-9223372036854775808,-9223372036854775808
apa02-3w0,-9223372036854775808,-9223372036854775808
apa02-kb5,-9223372036854775808,-9223372036854775808
apa05-kbd,-9223372036854775808,-9223372036854775808
apa16-1m1,-9223372036854775808,-9223372036854775808
apa01-1j0,-9223372036854775808,-9223372036854775808
apa09-0xc,-9223372036854775808,-9223372036854775808
apa01-1jo,-9223372036854775808,-9223372036854775808
apa03-3w4,-9223372036854775808,-9223372036854775808
apa05-3wq,8,3
apa11-0q2,-9223372036854775808,-9223372036854775808
apa04-1at,-9223372036854775808,-9223372036854775808
apa03-0uf,8,3
apa05-2w2,-9223372036854775808,-9223372036854775808
apa02-kb4,-9223372036854775808,-9223372036854775808
