apa04-2m1,3,2
apa12-0w6,12,3
apa01-2j8,8,3
apa01-2mq,7,3
apa08-0aj,9,3
apa02-2zr,22,3
apa02-1mp,22,3
apa01-1mp,30,3
apa12-1zb,41,3
apa01-1af,63,3
apa16-1m1,0,0
apa09-0bd,14,3
apa01-kak,38,3
apa09-0jo,5,3
apa05-2af,99,3
apa06-1bc,81,4
apa04-0bf,94,3
apa01-0bw,8,3
apa19-3m1,42,4
apa06-0mz,0,0
apa05-zbf,19,3
apa01-0mv,34,3
apa01-1mm,24,4
apa03-2aq,17,3
apa08-3w1,12,3
apa01-0a8,11,3
apa01-2bu,19,3
apa04-2bh,53,3
apa01-2b6,40,3
apa03-1a4,26,3
apa03-kjc,4,3
apa01-3be,26,3
apa03-0qt,41,3
apa11-1zb,43,3
apa23-2bb,61,3
apa15-0qw,33,3
apa01-4ac,25,3
apa06-6zb,38,4
apa01-1ko,15,3
apa03-2mn,18,4
apa01-2me,12,3
apa01-2qw,5,3
apa18-2mf,12,3
apa01-2fl,25,4
apa04-2be,34,3
apa02-kqw,9,3
apa03-zbf,142,4
apa02-3ac,14,3
apa01-0ju,12,3
apa13-2at,17,3
apa02-3qu,13,3
apa12-kbm,10,3
apa02-2ug,11,3
apa01-0ao,10,3
apa18-0m1,7,3
apa18-3m1,5,2
apa01-2qu,22,3
apa05-2uh,4,2
apa03-kb5,17,3
apa02-2xc,22,3
apa18-0w0,206,3
apa08-1w6,21,3
apa07-2w5,12,3
apa05-3xa,23,3
apa17-2bd,10,3
apa02-0a8,10,3
apa02-2w6,35,3
apa09-0w1,16,3
apa22-0m1,10,3
apa01-1u4,8,3
apa01-0jd,18,3
apa04-1w1,24,3
apa04-2w4,24,3
apa01-1qk,27,3
apa01-kbm,15,3
apa02-5xa,14,3
apa07-4ag,10,3
apa01-3jb,28,3
apa01-0af,21,3
apa02-0yq,17,3
apa15-2mt,14,3
apa04-2ug,19,3
apa05-1uc,17,3
apa13-0jo,74,3
apa03-3mp,14,3
apa02-3bt,0,0
apa08-0mo,64,3
apa36-0ez,8,3
apa09-4mf,10,3
apa01-kbc,14,3
apa01-3wq,28,3
apa02-1zm,61,3
apa04-1mp,19,3
apa01-kbn,6,3
apa01-1w7,34,3
apa06-1wq,7,3
apa04-3u4,7,3
apa01-0w5,2,2
apa03-2uf,26,3
apa06-0bh,24,3
apa11-0zm,9,3
apa09-0ql,29,3
apa01-kaw,16,3
apa05-1q0,19,3
apa03-1mp,20,3
apa02-1qe,16,3
apa03-2qu,17,3
apa05-2w2,20,3
apa05-1ed,21,3
apa06-1z2,10,3
apa08-2ah,31,3
apa01-1j0,12,3
