apa10-1w2,0,0
apa01-1jo,0,0
apa02-2jo,0,0
apa02-3u4,1,1
apa03-0qw,0,0
apa03-2bg,3,1
apa04-3m1,0,0
apa05-0a4,0,0
apa05-4mf,2,1
apa05-3m1,0,0
apa06-3w1,1,1
apa03-4mf,2,1
apa02-3w0,8,2
apa03-0ao,0,0
apa02-0a4,0,0
apa06-0mo,7,3
apa03-3at,5,2
apa08-1w4,0,0
apa06-2b4,0,0
apa07-1mm,3,3
apa29-1ez,0,0
apa08-0w1,48,5
apa01-2at,3,1
apa04-2w4,0,0
apa04-0q8,1,1
apa01-1qw,0,0
apa02-1j7,3,2
apa04-0qu,1,1
apa04-0z2,6,3
apa09-0w1,4,2
apa02-0ax,0,0
apa03-0q2,1,1
apa01-0mo,1,1
apa09-4ag,0,0
apa07-0bf,0,0
apa09-0ql,0,0
apa01-0w5,0,0
apa11-0zm,0,0
apa01-0ao,2,2
apa04-3u4,0,0
apa06-2bd,2,2
apa05-3mq,0,0
apa08-2w0,0,0
apa03-2w3,0,0
apa04-2wq,0,0
apa01-1qt,1,1
apa04-1zm,0,0
apa02-0zb,3,3
apa08-0zm,2,2
apa14-1mt,0,0
apa09-1w1,8,2
apa01-2fl,16,3
apa07-1bb,51,3
apa05-3w6,0,0
apa03-3mp,0,0
apa08-0qi,1,1
apa02-zbf,6,3
apa01-3w7,0,0
apa07-1wo,2,1
apa18-2mt,0,0
apa07-2ad,0,0
apa01-1fd,3,3
apa18-1qw,0,0
apa11-0mp,1,1
apa10-0yo,1,1
apa11-2mq,0,0
apa02-kms,0,0
apa11-0w0,0,0
apa20-1b1,3,3
apa15-0qw,0,0
apa01-1j7,3,2
apa05-0zm,5,3
apa05-2bf,2,2
apa12-0w6,4,2
apa05-5ad,2,1
apa05-0qw,1,1
apa03-kjc,1,1
apa04-0yq,0,0
apa13-2at,0,0
apa02-kqw,0,0
apa21-1ez,0,0
apa01-1aq,3,2
apa05-0bh,2,2
apa18-2mf,1,1
apa03-0qt,0,0
apa01-0p4,1,1
apa02-1mq,0,0
apa02-kb5,0,0
apa03-5bb,2,2
apa01-2qw,0,0
apa23-2bb,2,2
apa05-kbd,0,0
apa04-1at,0,0
apa02-3w7,0,0
apa01-1j0,3,2
apa03-4b4,0,0
apa09-0xc,0,0
apa05-2w2,0,0
apa05-3bb,2,2
apa03-1zm,1,1
apa06-1uc,6,1
apa01-3b4,0,0
apa02-2mn,4,4
apa25-3at,6,3
apa03-2bc,5,3
apa06-3bf,16,3
apa08-3mq,0,0
apa07-0q2,0,0
apa08-3bd,0,0
apa01-2u4,0,0
apa01-5ag,1,1
apa12-2at,0,0
apa02-2mf,1,1
apa02-1qo,2,2
apa03-2qs,4,3
apa03-2jc,2,2
apa04-3bb,3,2
apa01-2ah,3,1
apa02-kb3,1,1
apa07-2m1,0,0
apa15-1mt,1,1
apa15-3mf,3,2
apa03-3be,4,3
apa08-0q2,2,2
apa02-1w7,0,0
